X,Y,OBJECTID,advisorySpeed,areaUnitID,bicycle,bridge,bus,carStationWagon,cliffBank,crashDirectionDescription,crashFinancialYear,crashLocation1,crashLocation2,crashRoadSideRoad,crashSeverity,crashSHDescription,crashYear,debris,directionRoleDescription,ditch,fatalCount,fence,flatHill,guardRail,holiday,houseOrBuilding,intersection,kerb,light,meshblockId,minorInjuryCount,moped,motorcycle,NumberOfLanes,objectThrownOrDropped,otherObject,otherVehicleType,overBank,parkedVehicle,pedestrian,phoneBoxEtc,postOrPole,region,roadCharacter,roadLane,roadSurface,roadworks,schoolBus,seriousInjuryCount,slipOrFlood,speedLimit,strayAnimal,streetLight,suv,taxi,temporarySpeedLimit,tlaId,tlaName,trafficControl,trafficIsland,trafficSign,train,tree,truck,unknownVehicleType,urban,vanOrUtility,vehicle,waterRiver,weatherA,weatherB
1766656,5913310,1261686,,522820,0,,0,1,,East,2013/2014,PAKURANGA ROAD,TI RAKAU DRIVE,,Serious Crash,No,2013,,East,,0,,Flat,,,,,,Bright sun,694800,0,0,0,6,,,0,,,1,,,Auckland Region,Nil,2-way,Sealed,,0,1,,60,,Null,0,0,,76,Auckland,Unknown,,,,,0,0,Urban,0,,,Fine,Null
1772480,5896524,1261705,,525420,0,,0,2,,Null,2012/2013,EAST ST,QUEEN ST,,Serious Crash,No,2013,,South,,0,,Flat,,,,,,Dark,791600,0,0,0,2,,,0,,,,,,Auckland Region,Nil,2-way,Sealed,,0,1,,50,,On,0,0,,76,Auckland,Traffic Signals,,,,,0,0,Urban,0,,,Fine,Null
1751432,5915085,1261737,,514401,0,,0,0,,North,2013/2014,ST JUDE ST,DONEGAL ST,,Serious Crash,No,2013,,South,,0,,Hill Road,,,,,,Dark,382903,0,0,1,2,,,0,,,,,,Auckland Region,Nil,2-way,Sealed,,0,1,,50,,On,0,0,,76,Auckland,Nil,,,,,1,0,Urban,0,,,Light rain,Null
1748214,5942531,1261798,,506300,0,,0,0,,South,2013/2014,WILKS ROAD,POSTMAN ROAD,,Serious Crash,No,2013,,North,,0,,Flat,,,,,,Dark,175907,0,0,1,2,,,0,,,,,,Auckland Region,Nil,2-way,Sealed,,0,1,,80,,None,0,0,,76,Auckland,Nil,,,,,0,0,Open,0,,,Light rain,Null
1769677,5883079,1261844,,525910,0,,0,2,,North,2012/2013,CAPE HILL ROAD,NORTHVALE PLACE,,Serious Crash,No,2013,,North,,0,,Hill Road,,,,,,Overcast,816521,0,0,0,2,,,0,,,,,,Auckland Region,Nil,2-way,Sealed,,0,2,,100,,Off,0,0,,76,Auckland,Nil,,,,,0,0,Open,0,,,Light rain,Null
1755289,5929038,1261846,,508420,1,,0,1,,North,2013/2014,WAIRAU ROAD,TRISTRAM AVENUE,,Serious Crash,No,2013,,South,,0,,Flat,,,,,,Bright sun,183800,0,0,0,5,,,0,,,,,,Auckland Region,Nil,2-way,Sealed,,0,1,,50,,Off,0,0,,76,Auckland,Nil,,,,,0,0,Urban,0,,,Fine,Null
1749299,5914256,1261874,,511302,0,,0,1,,Null,2012/2013,RIMU ST,NIKAU ST,,Serious Crash,No,2013,,West,,0,,Flat,,,,,,Dark,268700,0,0,1,2,,,0,,,,,,Auckland Region,Nil,2-way,Sealed,,0,1,,50,,On,0,0,,76,Auckland,Stop,,,,,0,0,Urban,0,,,Light rain,Null
1774853,5909336,1261953,,523202,0,0,0,1,0,South,2012/2013,WHITFORD PARK ROAD,WHITFORD-MARAETAI ROAD,,Serious Crash,No,2013,0,North,0,0,0,Hill Road,0,,0,,0,Dark,717600,0,0,0,2,0,0,0,0,0,,0,1,Auckland Region,Nil,2-way,Sealed,0,0,1,0,70,0,On,0,0,,76,Auckland,Nil,0,0,0,1,0,0,Urban,0,0,0,Fine,Null
1748795,5957877,1262076,,506613,0,,0,0,,South,2013/2014,PUHOI ROAD,SALEYARDS ROAD,,Serious Crash,No,2013,,South,,0,,Flat,,,,,,Bright sun,146901,0,0,0,2,,,1,,,,,,Auckland Region,Nil,2-way,Sealed,,0,1,,50,,Off,0,0,,76,Auckland,Nil,,,,,0,0,Urban,0,,,Fine,Null
1751629,5934054,1262114,,508701,0,,0,2,,Null,2012/2013,DAIRY FLAT HIGHWAY,ALBANY HIGHWAY,,Serious Crash,No,2013,,North,,0,,Flat,,,,,,Dark,178800,0,0,0,4,,,0,,,,,,Auckland Region,Nil,2-way,Sealed,,0,1,,50,,On,0,0,,76,Auckland,Traffic Signals,,,,,0,0,Urban,0,,,Fine,Null
